Concurso ;Data;Coluna1 ;Coluna2 ;Coluna3 ;Coluna4 ;Coluna5 ;Coluna6 ;Media;Mediana;Premio_Acum;Sorteio_ Especial ;Classe
341;02/03/2002;5;16;22;23;43;56;27.5;22.5;YES;NO;ABCCEF
342;06/03/2002;16;29;34;49;51;54;38.83;41.5;YES;NO;BCDEFF
343;09/03/2002;4;6;7;12;24;41;15.66;9.5;NO;NO;AAABCE
344;13/03/2002;10;12;14;33;35;36;23.33;23.5;YES;NO;BBBDDD
345;16/03/2002;11;22;46;51;56;58;40.66;48.5;NO;NO;BCEFFF
346;20/03/2002;7;12;41;46;56;60;37;43.5;YES;NO;ABEEFF
347;23/03/2002;1;10;12;26;48;52;24.83;19;YES;NO;ABBCEF
348;27/03/2002;19;30;33;39;40;52;35.5;36;YES;NO;BDDDEF
349;30/03/2002;8;9;28;32;38;54;28.16;30;YES;NO;AACDDF
350;03/04/2002;10;15;23;30;43;57;29.66;26.5;YES;NO;BBCDEF
351;06/04/2002;15;16;24;41;59;60;35.83;32.5;YES;NO;BBCEFF
352;10/04/2002;7;20;25;44;47;49;32;34.5;YES;NO;ACCEEE
353;13/04/2002;19;23;30;46;55;60;38.83;38;YES;NO;BCDEFF
354;17/04/2002;7;16;38;40;41;52;32.33;39;NO;NO;ABDEEF
355;20/04/2002;2;14;22;23;37;60;26.33;22.5;YES;NO;ABCCDF
356;24/04/2002;5;19;21;54;56;58;35.5;37.5;YES;NO;ABCFFF
357;27/04/2002;2;30;32;35;45;53;32.83;33.5;YES;NO;ADDDEF
358;04/05/2002;12;17;21;32;40;42;27.33;26.5;YES;NO;BBCDEE
359;08/05/2002;13;19;20;29;31;54;27.66;24.5;YES;NO;BBCCDF
360;11/05/2002;23;24;29;47;53;55;38.5;38;YES;NO;CCCEFF
361;15/05/2002;16;28;31;41;45;59;36.66;36;YES;NO;BCDEEF
362;18/05/2002;7;20;33;37;46;56;33.16;35;NO;NO;ACDDEF
363;22/05/2002;19;29;39;47;49;54;39.5;43;YES;NO;BCDEEF
364;25/05/2002;5;29;44;51;57;59;40.83;47.5;NO;NO;ACEFFF
365;29/05/2002;19;23;34;37;52;58;37.16;35.5;NO;NO;BCDDFF
366;01/06/2002;4;6;7;15;21;51;17.33;11;YES;NO;AAABCF
367;05/06/2002;10;12;27;33;49;52;30.5;30;NO;NO;BBCDEF
368;08/06/2002;13;29;32;38;44;50;34.33;35;YES;NO;BCDDEF
369;12/06/2002;1;14;21;35;42;60;28.83;28;NO;NO;ABCDEF
370;15/06/2002;1;4;40;42;51;54;32;41;YES;NO;AAEEFF
371;19/06/2002;4;18;23;33;39;60;29.5;28;YES;NO;ABCDDF
372;22/06/2002;16;17;24;39;46;57;33.16;31.5;NO;NO;BBCDEF
373;26/06/2002;1;5;10;24;31;33;17.33;17;YES;NO;AABCDD
374;29/06/2002;2;5;16;26;44;54;24.5;21;YES;NO;AABCEF
375;03/07/2002;1;5;9;42;51;58;27.66;25.5;YES;NO;AAAEFF
376;06/07/2002;10;13;25;35;43;48;29;30;YES;NO;BBCDEE
377;10/07/2002;3;12;19;27;45;46;25.33;23;YES;NO;ABBCEE
378;13/07/2002;5;38;41;45;48;55;38.66;43;YES;NO;ADEEEF
379;17/07/2002;24;33;40;41;55;59;42;40.5;YES;NO;CDEEFF
380;20/07/2002;13;22;30;31;47;57;33.33;30.5;YES;NO;BCDDEF
381;24/07/2002;9;10;28;46;55;56;34;37;YES;NO;ABCEFF
382;27/07/2002;31;34;37;38;53;54;41.16;37.5;YES;NO;DDDDFF
383;31/07/2002;14;22;48;50;53;56;40.5;49;YES;NO;BCEFFF
384;03/08/2002;24;28;40;47;50;52;40.16;43.5;YES;NO;CCEEFF
385;07/08/2002;5;12;16;18;22;24;16.16;17;NO;NO;ABBBCC
386;10/08/2002;17;35;36;39;43;54;37.33;37.5;YES;NO;BDDDEF
387;14/08/2002;22;28;29;43;47;48;36.16;36;YES;NO;CCCEEE
388;17/08/2002;23;36;48;52;53;58;45;50;YES;NO;CDEFFF
389;21/08/2002;5;14;18;43;46;54;30;30.5;YES;NO;ABBEEF
390;24/08/2002;7;12;22;34;38;53;27.66;28;NO;NO;ABCDDF
391;28/08/2002;4;7;15;16;35;40;19.5;15.5;YES;NO;AABBDE
392;31/08/2002;15;23;31;39;47;49;34;35;NO;NO;BCDDEE
393;04/09/2002;6;12;35;36;40;50;29.83;35.5;YES;NO;ABDDEF
394;07/09/2002;5;15;35;42;45;49;31.83;38.5;YES;NO;ABDEEE
395;11/09/2002;10;11;14;20;31;58;24;17;NO;NO;BBBCDF
396;14/09/2002;6;18;34;42;45;47;32;38;YES;NO;ABDEEE
397;18/09/2002;1;2;5;24;32;46;18.33;14.5;YES;NO;AAACDE
398;21/09/2002;7;16;22;28;36;37;24.33;25;NO;NO;ABCCDD
399;25/09/2002;11;16;27;47;55;59;35.83;37;YES;NO;BBCEFF
400;28/09/2002;10;13;28;29;54;59;32.16;28.5;YES;NO;BBCCFF
401;02/10/2002;11;18;43;44;50;53;36.5;43.5;YES;NO;BBEEFF
402;05/10/2002;5;16;27;43;56;58;34.16;35;YES;NO;ABCEFF
403;09/10/2002;7;16;27;31;46;60;31.16;29;YES;NO;ABCDEF
404;12/10/2002;1;24;28;38;40;58;31.5;33;YES;NO;ACCDEF
405;16/10/2002;24;29;34;47;57;60;41.83;40.5;YES;NO;CCDEFF
406;19/10/2002;2;12;32;38;47;48;29.83;35;YES;NO;ABDDEE
407;23/10/2002;2;18;22;49;51;57;33.16;35.5;YES;NO;ABCEFF
408;26/10/2002;14;28;33;44;49;56;37.33;38.5;NO;NO;BCDEEF
409;30/10/2002;18;25;26;31;34;49;30.5;28.5;YES;NO;BCCDDE
410;02/11/2002;8;24;31;36;38;55;32;33.5;YES;NO;ACDDDF
411;06/11/2002;10;12;31;38;45;56;32;34.5;YES;NO;BBDDEF
412;09/11/2002;5;12;14;21;45;59;26;17.5;YES;NO;ABBCEF
413;13/11/2002;2;4;29;33;35;53;26;31;YES;NO;AACDDF
414;16/11/2002;16;26;35;45;52;58;38.66;40;NO;NO;BCDEFF
415;20/11/2002;1;4;27;38;42;44;26;32.5;YES;NO;AACDEE
416;23/11/2002;1;13;23;33;54;56;30;28;YES;NO;ABCDFF
417;27/11/2002;7;12;21;25;34;42;23.5;23;YES;NO;ABCCDE
418;30/11/2002;8;15;32;45;49;52;33.5;38.5;NO;NO;ABDEEF
419;04/12/2002;9;16;41;42;52;53;35.5;41.5;YES;NO;ABEEFF
420;07/12/2002;12;29;30;43;57;59;38.33;36.5;YES;NO;BCDEFF
421;11/12/2002;5;35;37;38;45;51;35.16;37.5;YES;NO;ADDDEF
422;14/12/2002;12;37;43;55;56;60;43.83;49;YES;NO;BDEFFF
423;18/12/2002;8;22;32;33;40;53;31.33;32.5;YES;NO;ACDDEF
424;21/12/2002;18;27;29;36;46;59;35.83;32.5;YES;NO;BCCDEF
425;28/12/2002;6;10;16;34;42;47;25.83;25;NO;NO;ABBDEE
426;04/01/2003;7;30;32;37;50;54;35;34.5;YES;NO;ADDDFF
427;08/01/2003;3;13;14;24;43;51;24.66;19;YES;NO;ABBCEF
428;11/01/2003;8;28;30;32;46;60;34;31;YES;NO;ACDDEF
429;15/01/2003;17;26;32;36;43;55;34.83;34;YES;NO;BCDDEF
430;18/01/2003;8;10;21;25;38;50;25.33;23;NO;NO;ABCCDF
431;22/01/2003;26;37;40;47;52;58;43.33;43.5;YES;NO;CDEEFF
432;25/01/2003;4;13;17;27;39;50;25;22;YES;NO;ABBCDF
433;29/01/2003;16;17;28;30;36;54;30.16;29;YES;NO;BBCDDF
434;01/02/2003;4;10;17;24;30;54;23.16;20.5;YES;NO;ABBCDF
435;05/02/2003;10;11;17;31;37;43;24.83;24;YES;NO;BBBDDE
436;08/02/2003;1;6;7;29;48;57;24.66;18;YES;NO;AAACEF
437;12/02/2003;7;10;30;44;54;59;34;37;YES;NO;ABDEFF
438;15/02/2003;3;5;11;14;38;48;19.83;12.5;YES;NO;AABBDE
439;19/02/2003;13;20;29;42;43;57;34;35.5;YES;NO;BCCEEF
440;22/02/2003;3;5;23;30;46;47;25.66;26.5;YES;NO;AACDEE
441;26/02/2003;2;10;15;21;58;59;27.5;18;YES;NO;ABBCFF
442;01/03/2003;6;15;23;31;37;59;28.5;27;NO;NO;ABCDDF
443;08/03/2003;11;17;26;36;48;52;31.66;31;YES;NO;BBCDEF
444;12/03/2003;3;24;33;48;52;57;36.16;40.5;YES;NO;ACDEFF
445;15/03/2003;7;20;31;32;50;53;32.16;31.5;YES;NO;ACDDFF
446;19/03/2003;8;11;12;17;20;47;19.16;14.5;NO;NO;ABBBCE
447;22/03/2003;15;24;25;33;42;55;32.33;29;YES;NO;BCCDEF
448;26/03/2003;3;5;9;45;51;52;27.5;27;YES;NO;AAAEFF
449;29/03/2003;1;8;24;34;49;56;28.66;29;YES;NO;AACDEF
450;02/04/2003;1;9;13;50;51;59;30.5;31.5;YES;NO;AABFFF
451;05/04/2003;17;18;23;28;31;53;28.33;25.5;YES;NO;BBCCDF
452;09/04/2003;11;16;30;36;51;54;33;33;YES;NO;BBDDFF
453;12/04/2003;8;20;23;34;52;58;32.5;28.5;YES;NO;ACCDFF
454;16/04/2003;4;17;24;42;46;56;31.5;33;YES;NO;ABCEEF
455;19/04/2003;2;14;15;17;50;59;26.16;16;YES;NO;ABBBFF
456;23/04/2003;3;17;22;27;33;40;23.66;24.5;YES;NO;ABCCDE
457;26/04/2003;15;17;24;27;32;48;27.16;25.5;NO;NO;BBCCDE
458;30/04/2003;13;24;32;34;43;53;33.16;33;YES;NO;BCDDEF
459;03/05/2003;8;15;17;39;43;49;28.5;28;YES;NO;ABBDEE
460;07/05/2003;19;23;30;37;49;55;35.5;33.5;YES;NO;BCDDEF
461;10/05/2003;15;17;20;29;30;60;28.5;24.5;YES;NO;BBCCDF
462;14/05/2003;17;19;22;26;27;48;26.5;24;YES;NO;BBCCCE
463;17/05/2003;2;3;7;18;45;53;21.33;12.5;YES;NO;AAABEF
464;21/05/2003;6;24;33;38;45;50;32.66;35.5;NO;NO;ACDDEF
465;24/05/2003;1;22;31;46;51;57;34.66;38.5;YES;NO;ACDEFF
466;28/05/2003;11;16;28;29;30;45;26.5;28.5;YES;NO;BBCCDE
467;31/05/2003;8;18;21;22;38;60;27.83;21.5;YES;NO;ABCCDF
468;04/06/2003;5;6;23;25;39;51;24.83;24;YES;NO;AACCDF
469;07/06/2003;13;21;26;29;42;47;29.66;27.5;NO;NO;BCCCEE
470;11/06/2003;8;11;23;37;51;58;31.33;30;YES;NO;ABCDFF
471;14/06/2003;5;31;32;36;51;59;35.66;34;YES;NO;ADDDFF
472;18/06/2003;3;4;12;29;38;51;22.83;20.5;YES;NO;AABCDF
473;21/06/2003;7;23;41;49;51;58;38.16;45;YES;NO;ACEEFF
474;25/06/2003;3;12;32;34;40;50;28.5;33;YES;NO;ABDDEF
475;28/06/2003;6;8;19;22;43;52;25;20.5;YES;NO;AABCEF
476;02/07/2003;17;20;38;43;55;58;38.5;40.5;YES;NO;BCDEFF
477;05/07/2003;6;8;18;34;38;47;25.16;26;NO;NO;AABDDE
478;09/07/2003;3;8;21;25;30;31;19.66;23;YES;NO;AACCDD
479;12/07/2003;20;26;41;46;54;58;40.83;43.5;YES;NO;CCEEFF
480;16/07/2003;14;33;36;38;41;49;35.16;37;YES;NO;BDDDEE
481;19/07/2003;6;13;22;24;42;44;25.16;23;NO;NO;ABCCEE
482;23/07/2003;12;13;33;53;54;56;36.83;43;YES;NO;BBDFFF
483;26/07/2003;16;18;23;35;44;59;32.5;29;YES;NO;BBCDEF
484;30/07/2003;17;18;19;38;49;53;32.33;28.5;YES;NO;BBBDEF
485;02/08/2003;19;28;30;38;52;57;37.33;34;YES;NO;BCDDFF
486;06/08/2003;8;14;19;30;42;50;27.16;24.5;NO;NO;ABBDEF
487;09/08/2003;8;22;25;48;52;54;34.83;36.5;NO;NO;ACCEFF
488;13/08/2003;15;30;35;39;43;57;36.5;37;YES;NO;BDDDEF
489;16/08/2003;17;28;33;36;53;59;37.66;34.5;YES;NO;BCDDFF
490;20/08/2003;5;11;23;29;54;58;30;26;NO;NO;ABCCFF
491;23/08/2003;1;9;15;22;43;55;24.16;18.5;NO;NO;AABCEF
492;27/08/2003;2;6;15;18;56;57;25.66;16.5;YES;NO;AABBFF
493;30/08/2003;3;18;20;24;42;54;26.83;22;YES;NO;ABCCEF
494;03/09/2003;18;20;28;32;49;53;33.33;30;YES;NO;BCCDEF
495;06/09/2003;8;15;29;36;49;60;32.83;32.5;YES;NO;ABCDEF
496;10/09/2003;10;19;20;29;41;59;29.66;24.5;YES;NO;BBCCEF
497;13/09/2003;9;13;20;32;41;58;28.83;26;YES;NO;ABCDEF
498;17/09/2003;2;6;28;49;50;57;32;38.5;YES;NO;AACEFF
499;20/09/2003;1;4;5;11;44;59;20.66;8;NO;NO;AAABEF
500;27/09/2003;21;29;35;36;38;54;35.5;35.5;NO;NO;CCDDDF
501;01/10/2003;16;27;28;34;39;56;33.33;31;YES;NO;BCCDDF
502;04/10/2003;7;13;21;24;33;50;24.66;22.5;NO;NO;ABCCDF
503;08/10/2003;7;10;21;27;48;49;27;24;YES;NO;ABCCEE
504;11/10/2003;8;11;19;30;39;50;26.16;24.5;YES;NO;ABBDDF
505;15/10/2003;3;20;28;46;47;52;32.66;37;YES;NO;ACCEEF
506;18/10/2003;4;15;31;34;37;38;26.5;32.5;YES;NO;ABDDDD
507;22/10/2003;3;5;27;33;44;58;28.33;30;NO;NO;AACDEF
508;25/10/2003;5;10;15;45;46;56;29.5;30;YES;NO;ABBEEF
509;29/10/2003;28;32;33;34;35;55;36.16;33.5;YES;NO;CDDDDF
510;01/11/2003;1;4;30;41;45;58;29.83;35.5;NO;NO;AADEEF
511;05/11/2003;3;4;8;34;36;37;20.33;21;YES;NO;AAADDD
512;08/11/2003;4;8;31;40;53;58;32.33;35.5;NO;NO;AADEFF
513;12/11/2003;10;19;27;33;39;46;29;30;YES;NO;BBCDDE
514;15/11/2003;15;36;40;42;51;52;39.33;41;YES;NO;BDEEFF
515;19/11/2003;15;16;39;45;48;57;36.66;42;YES;NO;BBDEEF
516;22/11/2003;5;13;24;33;34;35;24;28.5;YES;NO;ABCDDD
517;26/11/2003;7;8;28;32;38;51;27.33;30;YES;NO;AACDDF
518;29/11/2003;5;8;10;15;18;44;16.66;12.5;YES;NO;AABBBE
519;03/12/2003;9;15;19;22;36;42;23.83;20.5;YES;NO;ABBCDE
520;06/12/2003;9;12;17;32;34;35;23.16;24.5;YES;NO;ABBDDD
521;10/12/2003;15;25;28;32;38;45;30.5;30;YES;NO;BCCDDE
522;13/12/2003;6;14;15;25;49;52;26.83;20;YES;NO;ABBCEF
523;17/12/2003;28;39;40;44;45;58;42.33;42;YES;NO;CDEEEF
524;20/12/2003;19;29;34;41;47;48;36.33;37.5;NO;NO;BCDEEE
525;27/12/2003;8;10;24;26;32;49;24.83;25;NO;NO;ABCCDE
526;03/01/2004;3;21;31;36;55;59;34.16;33.5;YES;NO;ACDDFF
527;07/01/2004;6;14;17;26;50;52;27.5;21.5;YES;NO;ABBCFF
528;10/01/2004;8;12;28;31;34;37;25;29.5;YES;NO;ABCDDD
529;14/01/2004;1;13;33;38;45;56;31;35.5;NO;NO;ABDDEF
530;17/01/2004;1;6;21;25;32;49;22.33;23;YES;NO;AACCDE
531;21/01/2004;1;3;7;18;35;50;19;12.5;YES;NO;AAABDF
532;24/01/2004;4;9;12;13;52;53;23.83;12.5;YES;NO;AABBFF
533;28/01/2004;13;18;21;27;53;59;31.83;24;YES;NO;BBCCFF
534;31/01/2004;3;8;23;31;48;57;28.33;27;NO;NO;AACDEF
535;04/02/2004;6;14;28;47;49;56;33.33;37.5;NO;NO;ABCEEF
536;07/02/2004;14;15;22;23;25;37;22.66;22.5;YES;NO;BBCCCD
537;11/02/2004;3;7;19;34;37;39;23.16;26.5;NO;NO;AABDDD
538;14/02/2004;3;25;43;45;52;56;37.33;44;YES;NO;ACEEFF
539;18/02/2004;6;16;19;47;50;55;32.16;33;YES;NO;ABBEFF
540;21/02/2004;4;22;28;30;44;49;29.5;29;YES;NO;ACCDEE
541;28/02/2004;13;27;49;52;57;58;42.66;50.5;NO;NO;BCEFFF
542;03/03/2004;4;6;19;28;35;49;23.5;23.5;YES;NO;AABCDE
543;06/03/2004;35;37;42;46;49;54;43.83;44;NO;NO;DDEEEF
544;10/03/2004;11;17;33;34;47;56;33;33.5;YES;NO;BBDDEF
545;13/03/2004;17;29;35;40;43;57;36.83;37.5;NO;NO;BCDEEF
546;17/03/2004;4;5;13;17;46;54;23.16;15;YES;NO;AABBEF
547;20/03/2004;4;13;28;30;53;59;31.16;29;NO;NO;ABCDFF
548;24/03/2004;14;47;49;51;58;59;46.33;50;YES;NO;BEEFFF
549;27/03/2004;8;13;22;46;51;58;33;34;YES;NO;ABCEFF
550;31/03/2004;16;17;38;39;45;56;35.16;38.5;YES;NO;BBDDEF
551;03/04/2004;12;21;46;48;56;57;40;47;YES;NO;BCEEFF
552;07/04/2004;9;22;47;49;52;54;38.83;48;YES;NO;ACEEFF
553;10/04/2004;4;43;46;53;54;58;43;49.5;YES;NO;AEEFFF
554;14/04/2004;15;29;31;42;47;60;37.33;36.5;YES;NO;BCDEEF
555;17/04/2004;5;23;31;33;45;49;31;32;NO;NO;ACDDEE
556;21/04/2004;8;10;17;30;33;45;23.83;23.5;YES;NO;ABBDDE
557;24/04/2004;8;12;18;23;38;49;24.66;20.5;YES;NO;ABBCDE
558;28/04/2004;7;14;31;57;58;59;37.66;44;YES;NO;ABDFFF
559;01/05/2004;6;13;17;25;36;53;25;21;NO;NO;ABBCDF
560;05/05/2004;2;11;18;30;32;58;25.16;24;YES;NO;ABBDDF
561;08/05/2004;1;20;36;39;49;55;33.33;37.5;YES;NO;ACDDEF
562;12/05/2004;16;23;35;37;55;57;37.16;36;YES;NO;BCDDFF
563;15/05/2004;5;8;23;34;44;51;27.5;28.5;YES;NO;AACDEF
564;19/05/2004;10;13;20;32;38;49;27;26;YES;NO;BBCDDE
565;22/05/2004;7;31;34;35;37;45;31.5;34.5;YES;NO;ADDDDE
566;26/05/2004;6;13;17;18;20;37;18.5;17.5;YES;NO;ABBBCD
567;29/05/2004;11;31;38;41;57;58;39.33;39.5;YES;NO;BDDEFF
568;02/06/2004;13;17;22;25;29;41;24.5;23.5;YES;NO;BBCCCE
569;05/06/2004;3;9;14;15;32;57;21.66;14.5;NO;NO;AABBDF
570;09/06/2004;15;32;33;35;36;51;33.66;34;YES;NO;BDDDDF
571;12/06/2004;12;13;14;31;50;51;28.5;22.5;YES;NO;BBBDFF
572;16/06/2004;3;9;16;20;33;60;23.5;18;YES;NO;AABCDF
573;19/06/2004;6;17;22;29;40;59;28.83;25.5;YES;NO;ABCCEF
574;23/06/2004;2;10;17;23;32;44;21.33;20;YES;NO;ABBCDE
575;26/06/2004;5;18;21;29;35;48;26;25;NO;NO;ABCCDE
576;30/06/2004;7;8;18;39;43;52;27.83;28.5;YES;NO;AABDEF
577;03/07/2004;8;23;24;28;31;47;26.83;26;YES;NO;ACCCDE
578;07/07/2004;3;18;23;48;56;58;34.33;35.5;NO;NO;ABCEFF
579;10/07/2004;4;9;15;17;34;39;19.66;16;NO;NO;AABBDD
580;14/07/2004;15;16;18;28;38;47;27;23;YES;NO;BBBCDE
581;17/07/2004;14;17;25;30;39;52;29.5;27.5;NO;NO;BBCDDF
582;21/07/2004;13;29;40;45;51;59;39.5;42.5;YES;NO;BCEEFF
583;24/07/2004;6;7;20;41;43;55;28.66;30.5;YES;NO;AACEEF
584;28/07/2004;7;8;23;30;32;53;25.5;26.5;YES;NO;AACDDF
585;31/07/2004;12;24;33;36;39;57;33.5;34.5;NO;NO;BCDDDF
586;04/08/2004;11;13;38;39;45;54;33.33;38.5;YES;NO;BBDDEF
587;07/08/2004;2;18;29;30;36;60;29.16;29.5;YES;NO;ABCDDF
588;11/08/2004;11;13;45;46;53;55;37.16;45.5;YES;NO;BBEEFF
589;14/08/2004;6;7;8;13;33;59;21;10.5;YES;NO;AAABDF
590;18/08/2004;4;5;18;25;28;51;21.83;21.5;YES;NO;AABCCF
591;21/08/2004;1;3;18;34;50;58;27.33;26;YES;NO;AABDFF
592;25/08/2004;13;14;42;47;55;59;38.33;44.5;YES;NO;BBEEFF
593;28/08/2004;1;25;27;29;49;59;31.66;28;YES;NO;ACCCEF
594;01/09/2004;10;13;29;47;53;55;34.5;38;YES;NO;BBCEFF
595;04/09/2004;1;2;25;43;50;54;29.16;34;YES;NO;AACEFF
596;08/09/2004;11;14;28;43;54;60;35;35.5;YES;NO;BBCEFF
597;11/09/2004;22;27;29;40;42;56;36;34.5;YES;NO;CCCEEF
598;15/09/2004;5;16;34;38;50;53;32.66;36;NO;NO;ABDDFF
599;18/09/2004;4;6;9;23;45;51;23;16;YES;NO;AAACEF
600;22/09/2004;16;18;31;34;39;54;32;32.5;YES;NO;BBDDDF
601;25/09/2004;10;19;22;29;30;37;24.5;25.5;YES;NO;BBCCDD
602;29/09/2004;7;13;38;46;55;60;36.5;42;YES;NO;ABDEFF
603;02/10/2004;4;8;11;12;29;44;18;11.5;NO;NO;AABBCE
604;06/10/2004;15;25;41;46;49;51;37.83;43.5;YES;NO;BCEEEF
605;09/10/2004;4;24;44;49;52;53;37.66;46.5;YES;NO;ACEEFF
606;13/10/2004;6;23;32;35;41;55;32;33.5;NO;NO;ACDDEF
607;16/10/2004;6;11;19;27;41;59;27.16;23;YES;NO;ABBCEF
608;20/10/2004;6;13;19;24;30;37;21.5;21.5;YES;NO;ABBCDD
609;23/10/2004;2;6;15;58;59;60;33.33;36.5;YES;NO;AABFFF
610;27/10/2004;25;30;43;45;47;49;39.83;44;YES;NO;CDEEEE
611;30/10/2004;16;21;22;33;48;49;31.5;27.5;YES;NO;BCCDEE
612;03/11/2004;15;18;33;50;53;55;37.33;41.5;YES;NO;BBDFFF
613;06/11/2004;6;13;19;44;54;55;31.83;31.5;YES;NO;ABBEFF
614;10/11/2004;12;16;31;48;57;60;37.33;39.5;YES;NO;BBDEFF
615;13/11/2004;5;8;10;27;31;51;22;18.5;YES;NO;AABCDF
616;17/11/2004;2;12;16;24;26;54;22.33;20;YES;NO;ABBCCF
617;20/11/2004;3;5;25;33;36;49;25.16;29;NO;NO;AACDDE
618;24/11/2004;3;8;10;13;24;60;19.66;11.5;YES;NO;AABBCF
619;27/11/2004;8;12;14;16;19;46;19.16;15;YES;NO;ABBBBE
620;01/12/2004;1;3;13;22;29;32;16.66;17.5;YES;NO;AABCCD
621;04/12/2004;26;29;31;49;50;57;40.33;40;YES;NO;CCDEFF
622;08/12/2004;19;27;29;38;50;59;37;33.5;YES;NO;BCCDFF
623;11/12/2004;9;23;30;42;49;55;34.66;36;YES;NO;ACDEEF
624;15/12/2004;8;23;34;39;43;52;33.16;36.5;NO;NO;ACDDEF
625;18/12/2004;12;24;32;40;42;59;34.83;36;YES;NO;BCDEEF
626;22/12/2004;7;8;18;22;39;49;23.83;20;YES;NO;AABCDE
627;29/12/2004;1;13;19;45;56;58;32;32;YES;NO;ABBEFF
628;05/01/2005;8;16;22;30;56;58;31.66;26;NO;NO;ABCDFF
629;08/01/2005;15;16;39;40;47;51;34.66;39.5;NO;NO;BBDEEF
630;12/01/2005;12;16;20;45;53;60;34.33;32.5;YES;NO;BBCEFF
631;15/01/2005;1;20;28;32;44;47;28.66;30;NO;NO;ACCDEE
632;19/01/2005;2;19;28;48;51;54;33.66;38;YES;NO;ABCEFF
633;22/01/2005;5;11;22;27;46;50;26.83;24.5;YES;NO;ABCCEF
634;26/01/2005;10;13;24;41;42;56;31;32.5;YES;NO;BBCEEF
635;29/01/2005;8;20;26;37;42;49;30.33;31.5;YES;NO;ACCDEE
636;02/02/2005;26;28;30;32;34;50;33.33;31;YES;NO;CCDDDF
637;05/02/2005;11;18;43;48;52;58;38.33;45.5;YES;NO;BBEEFF
638;12/02/2005;10;11;36;41;42;50;31.66;38.5;YES;NO;BBDEEF
639;16/02/2005;13;35;39;45;51;60;40.5;42;YES;NO;BDDEFF
640;19/02/2005;12;19;42;46;59;60;39.66;44;YES;NO;BBEEFF
641;23/02/2005;1;9;13;17;33;34;17.83;15;NO;NO;AABBDD
642;26/02/2005;17;36;40;44;51;56;40.66;42;YES;NO;BDEEFF
643;02/03/2005;14;24;37;40;42;45;33.66;38.5;YES;NO;BCDEEE
644;05/03/2005;14;27;29;31;34;57;32;30;YES;NO;BCCDDF
645;09/03/2005;3;24;48;52;53;54;39;50;YES;NO;ACEFFF
646;12/03/2005;10;13;32;47;49;60;35.16;39.5;YES;NO;BBDEEF
647;16/03/2005;11;12;14;19;54;56;27.66;16.5;NO;NO;BBBBFF
648;19/03/2005;5;23;29;42;45;48;32;35.5;NO;NO;ACCEEE
649;23/03/2005;9;24;33;41;48;54;34.83;37;YES;NO;ACDEEF
650;26/03/2005;10;24;25;29;53;59;33.33;27;YES;NO;BCCCFF
651;30/03/2005;26;28;39;45;48;60;41;42;YES;NO;CCDEEF
652;02/04/2005;10;18;20;24;56;57;30.83;22;YES;NO;BBCCFF
653;06/04/2005;5;9;19;24;31;34;20.33;21.5;YES;NO;AABCDD
654;09/04/2005;6;10;11;40;41;56;27.33;25.5;NO;NO;ABBEEF
655;13/04/2005;1;26;37;39;43;48;32.33;38;YES;NO;ACDDEE
656;16/04/2005;35;36;37;46;51;59;44;41.5;YES;NO;DDDEFF
657;20/04/2005;16;20;33;58;59;60;41;45.5;NO;NO;BCDFFF
658;23/04/2005;3;6;11;20;36;41;19.5;15.5;YES;NO;AABCDE
659;27/04/2005;14;29;34;40;51;52;36.66;37;YES;NO;BCDEFF
660;30/04/2005;5;11;38;46;53;54;34.5;42;YES;NO;ABDEFF
661;04/05/2005;4;27;36;40;42;55;34;38;YES;NO;ACDEEF
662;07/05/2005;4;18;23;25;56;60;31;24;YES;NO;ABCCFF
663;11/05/2005;1;27;30;49;51;55;35.5;39.5;YES;NO;ACDEFF
664;14/05/2005;1;12;36;38;55;59;33.5;37;YES;NO;ABDDFF
665;18/05/2005;7;8;18;25;47;48;25.5;21.5;YES;NO;AABCEE
666;21/05/2005;7;16;26;29;45;55;29.66;27.5;YES;NO;ABCCEF
667;25/05/2005;1;4;5;16;23;49;16.33;10.5;NO;NO;AAABCE
668;28/05/2005;1;2;14;33;49;56;25.83;23.5;YES;NO;AABDEF
669;01/06/2005;7;24;27;40;41;49;31.33;33.5;NO;NO;ACCEEE
670;04/06/2005;22;37;42;48;58;59;44.33;45;YES;NO;CDEEFF
671;08/06/2005;9;16;27;38;39;51;30;32.5;YES;NO;ABCDDF
672;11/06/2005;24;28;34;38;43;53;36.66;36;YES;NO;CCDDEF
673;15/06/2005;6;11;20;34;37;40;24.66;27;YES;NO;ABCDDE
674;18/06/2005;18;22;29;32;38;42;30.16;30.5;YES;NO;BCCDDE
675;22/06/2005;24;25;30;42;43;50;35.66;36;YES;NO;CCDEEF
676;25/06/2005;9;15;32;41;42;49;31.33;36.5;YES;NO;ABDEEE
677;29/06/2005;8;10;25;32;48;55;29.66;28.5;YES;NO;ABCDEF
678;02/07/2005;14;31;40;42;44;46;36.16;41;YES;NO;BDEEEE
679;06/07/2005;3;21;25;37;54;58;33;31;NO;NO;ACCDFF
680;09/07/2005;2;3;5;22;26;44;17;13.5;YES;NO;AAACCE
681;13/07/2005;21;25;38;53;58;59;42.33;45.5;YES;NO;CCDFFF
682;16/07/2005;4;27;36;37;47;60;35.16;36.5;YES;NO;ACDDEF
683;20/07/2005;2;11;12;35;40;43;23.83;23.5;YES;NO;ABBDEE
